SubDistrictCode,AnimalTotal
640207,87
452003,134
710204,160
270202,162
620504,172
330313,183
400510,204
250802,229
190904,3620
720601,4460
730210,5932
760210,7747
250204,8514
620410,15606
480511,60
160610,112
720105,134
390602,151
430509,180
160208,216
480605,216
900201,243
160704,267
800113,273
301015,323
670507,394
841605,665
730606,6305
470402,72
330703,97
502303,117
270507,140
920109,184
161106,207
410803,214
520204,232
670102,239
650604,265
420911,336
621004,384
801002,485
600209,532
710501,733
550716,1514
650607,1676
630108,2128
820303,3440
343103,84
161005,119
360116,122
461306,163
841715,163
471006,193
370401,195
300124,202
331303,219
250810,224
900504,227
300902,256
630608,269
441304,297
340513,337
760304,373
801003,469
650303,572
730124,1985
540301,2541
240901,13604
302111,15400
302103,18994
303104,84
410402,116
302701,135
450307,169
841604,185
440903,186
300808,210
940211,210
402302,232
600306,262
270201,280
570504,375
800912,423
710111,439
720904,543
660903,1553
200605,13950
450613,80
310126,95
411108,121
310206,131
270610,148
302603,149
460714,164
341907,177
440311,245
570506,347
720903,5600
350111,98
160903,112
350116,131
471206,157
360308,163
302504,187
402003,209
412002,220
660703,249
452002,262
650119,265
480206,275
460703,278
400911,291
670502,291
530709,305
520807,328
330801,330
341524,421
901304,761
451805,833
820805,1328
920905,1807
350904,2640
600504,4041
340113,102
840702,105
640206,110
451016,113
300817,131
550710,150
341104,159
820702,162
450405,169
402204,180
461401,185
331205,186
330413,203
560206,397
312304,98
342006,108
490307,146
400705,179
440315,214
451402,234
331706,260
300801,296
350309,361
610202,468
560507,572
720802,665
440505,48
320605,89
340904,111
520502,132
311806,139
720913,6303
341504,173
570403,176
450708,229
410120,236
421302,237
550902,248
800404,272
411113,285
630109,419
670902,647
361602,911
810111,1148
560111,1334
150503,1788
321015,95
330127,119
801104,171
540806,172
480302,218
343102,523
570502,792
910605,803
620507,1049
160204,1945
840102,2008
320607,88
470403,129
301318,212
480205,221
461603,277
450804,300
411904,326
350203,352
601304,408
640502,660
570606,965
390201,7145
160304,130
401508,147
402404,177
310803,212
490201,216
320702,251
440106,294
330804,317
800911,799
331301,989
570601,3003
710912,4317
361501,4320
670313,5756
710308,31018
310426,141
570515,197
160505,249
302305,255
770406,360
361208,369
310502,384
450520,465
900704,603
610706,856
620110,1492
320205,128
481005,184
770503,196
401302,252
410605,324
640902,477
510405,602
450402,1964
610305,2356
400905,2457
350401,183
760205,197
440810,263
460113,271
520109,318
470702,327
440801,436
471601,289
370306,335
160902,587
601501,658
720905,848
230308,4126
550904,153
471402,172
520202,201
330408,218
670407,274
670406,401
620706,449
380803,463
390502,503
570509,531
900904,913
540705,1148
160702,341
920108,374
450711,387
302301,460
900708,482
461305,648
800605,1386
700201,239784
550901,126
331004,142
550205,235
301717,247
330304,276
350505,678
521206,1192
390213,1680
570111,136
460302,223
640307,262
450410,452
300905,2757
550512,248
502103,365
770303,395
450802,432
520805,576
840213,923
540505,1446
802201,3057
460304,228
841702,458
500912,459
410414,562
410611,738
550706,841
321502,221
330416,308
320908,309
401301,325
400706,397
460116,461
450905,1195
300809,1244
930403,12053
450407,13707
270205,132
401504,215
620605,1573
160305,3428
460503,176
300503,264
330121,324
300306,337
312302,374
450703,367
320513,409
400509,409
470902,613
900803,718
342501,1631
570204,2545
560203,147
312104,335
451504,396
570113,478
361008,826
670506,953
570508,3086
600401,3896
451008,390
660307,703
550108,797
460403,229
460507,355
620609,770
620407,818
480504,370
930602,1795
160119,5424
160507,300
311103,428
470504,557
321401,1870
461601,2877
470203,350
440620,394
400205,474
770505,903
470604,1349
340712,324
360303,719
640606,1293
180508,12148
331607,146
301605,224
301509,365
331405,438
521002,978
620412,1003
302012,1315
440602,1352
800611,1393
461602,544
550514,617
901510,721
320111,271
321403,292
241001,504
130203,11834
331018,228
320116,298
441202,334
550607,506
440301,733
802202,1417
610303,1493
330910,717
400110,1231
301303,336
431602,416
711006,591
550506,1052
341109,415
520707,478
540802,105
360304,862
601401,1293
502205,7412
343002,227
580202,249
310102,432
500607,1162
300125,1723
802104,6568
930508,3622
450803,517
640204,1228
331404,372
310418,435
340710,1658
342202,2409
301220,3289
501206,614
661202,1876
341913,1064
342206,1297
720301,15978
332202,462
350703,550
440914,718
350109,8546
490601,387
570711,527
361010,1317
320302,224
341003,234
341414,562
302006,724
520304,1016
501103,449
310416,608
460508,657
410612,1568
341002,590
860204,7239
710512,239
770602,1636
501210,837
621102,6566
510404,390
530307,426
380306,368
342901,1829
450604,794
320502,356
480503,2157
310906,720
650305,406
461201,1168
310303,567
350807,486
530301,1346
620411,2695
930702,3949
770102,4024
930301,5837
550202,372
501104,389
530405,1001
501601,337
502002,1089
711304,25370
860711,744
580505,345
521302,816
660304,2023
341409,569
401710,3292
481201,908
411905,795
451202,1449
311205,1276
571303,743
320113,694
500307,1719
331705,510
570708,3696
580605,1111
331402,501
550301,763
320501,651
580106,1082
630901,1756
401703,2667
330601,595
500612,945
580303,1028
802304,4546
571803,795
580701,711
800120,8185
340201,963
550117,987
551201,546
650204,2044
650702,1361
500301,2956
580405,1602
540704,7880
500402,2080
630406,2047
501803,2113
930504,33326
502204,3358
640409,4814
551502,1938
191004,1
240513,1
340101,1
191105,2
540109,2
750105,2
660613,3
730204,3
120408,4
141306,4
160116,4
160612,4
660203,4
310720,5
600809,5
601008,5
610401,6
860413,6
311304,8
601108,8
401204,9
700406,9
210402,10
720504,10
140713,11
311014,12
340408,12
601001,12
850502,12
900106,14
390304,15
760120,15
620106,17
520503,19
191304,20
310708,25
140209,26
671104,30
841003,30
920404,30
940213,31
520111,34
600706,35
331502,36
600406,39
141101,40
380203,40
270802,50
420201,50
660412,52
520101,58
540115,66
200405,70
270804,100
730610,100
700401,496
141007,600
190607,800
540501,910
700504,1005
150204,1300
140205,1500
200614,1500
250206,2800
500702,10200
190113,18338
340405,5
170406,6
801205,7
940503,8
630201,9
321210,16
850405,16
400511,20
130602,21
301505,27
500604,27
730404,28
321303,29
400303,29
140814,30
341516,30
220802,37
730614,37
250607,53
210112,55
501405,55
720304,55
730514,60
840401,65
540305,70
140514,93
841101,95
920602,110
660403,115
140902,153
860802,200
510112,210
141604,284
161002,342
540503,467
670320,526
820107,529
200206,1117
180206,1402
600705,1559
150611,1600
230403,2884
250205,3028
200304,16388
260301,17000
500602,22650
150105,12
540805,22
860116,32
530101,35
730318,38
420504,48
140606,49
380205,50
860107,65
250109,67
400607,69
141502,70
540204,71
660803,73
901107,85
420904,90
410415,95
421104,147
